id,name,type,aliases,description,domain,romanName,symbols,sacredAnimals,parentIds,childrenIds,sourceIds,notes
human_hector_001,Hector,HUMAN,"Hektor, Hektor",Prince of Troy and greatest Trojan warrior,Warfare|Nobility|Duty|Heroism|Tragedy,,"Spear|Shield|Armor|Helmet","Horse|Eagle",deity_apollo_001|deity_hecuba_001,,src:theoi-hector|src:homer-iliad|src:ovid-metamorphoses,Prince of Troy. Greatest Trojan warrior. Killed by Achilles. Son of Priam and Hecuba. Dragged behind Achilles' chariot.
human_ajax_001,Ajax,HUMAN,"Aias, Ajax the Great",Great Greek warrior second only to Achilles,Warfare|Strength|Heroism|Pride|Suicide,,"Spear|Shield|Armor|Sword","Eagle|Lion",deity_poseidon_001|deity_telamon_001,,src:theoi-ajax|src:homer-iliad|src:ovid-metamorphoses,Son of Telamon. Strongest Greek after Achilles. Fought heroically at Troy. Later driven mad and committed suicide over arms of Achilles.
human_agamemnon_001,Agamemnon,HUMAN,"Agamemnón, Agamemnus",High king of Greece and leader of Greeks at Troy,Leadership|Kingship|Authority|Pride|Tragedy,,"Scepter|Crown|Sword|Shield","Eagle|Lion",deity_atreus_001,,src:theoi-agamemnon|src:homer-iliad|src:aeschylus-oresteia|src:ovid-metamorphoses,King of Mycenae and leader of Greek forces at Troy. Known for pride and arrogance. Murdered by his wife Clytemnestra.
human_menelaus_001,Menelaus,HUMAN,"Menelaos, Menelaus",King of Sparta and cause of Trojan War,Kingship|War|Betrayal|Recovery|Perseverance,,"Sword|Shield|Spear|Crown","Eagle|Horse",deity_zeus_001|deity_atreus_001,,src:theoi-menelaus|src:homer-iliad|src:homer-odyssey|src:ovid-metamorphoses,King of Sparta. Husband of Helen whose elopement with Paris caused Trojan War. Fought at Troy for ten years.
human_helen_001,Helen,HUMAN,"Helénè, Helen of Troy",Most beautiful woman in ancient world spark of Trojan War,Beauty|Desire|Kingship|Tragedy|War,,"Mirror|Torch|Crown|Wreath","Dove|Swan",deity_zeus_001|deity_leda_001|deity_aphrodite_001,,src:theoi-helen|src:homer-iliad|src:homer-odyssey|src:ovid-metamorphoses,Daughter of Zeus and Leda. Wife of Menelaus. Her elopement with Trojan prince Paris sparked Trojan War. Symbol of beauty and desire.
human_paris_001,Paris,HUMAN,"Alexandros, Paris",Trojan prince whose judgment led to Trojan War,War|Judgment|Passion|Tragedy|Prophecy,,"Bow|Arrow|Sword|Armor","Horse|Dove",deity_apollo_001|deity_hecuba_001,,src:theoi-paris|src:homer-iliad|src:ovid-metamorphoses,Son of King Priam of Troy. Judgment of beauty contest started Trojan War. Killed Achilles. Died at Troy.
human_odysseus_001,Odysseus,HUMAN,"Ulysses, Odusseus, Ulixes",Resourceful Greek hero of the odyssey,Cunning|Wisdom|Perseverance|Adventure|Survival,Ulysses,Bow|Sword|Spear|Armor,"Owl|Raven",deity_athena_001|deity_laertes_001,,src:theoi-odysseus|src:homer-odyssey|src:homer-iliad|src:ovid-metamorphoses,Son of Laertes or Sisyphus. Greek hero at Troy. Took 10 years to sail home to Ithaca. Known for cunning intelligence.
human_ajax_minor_001,Ajax the Lesser,HUMAN,"Aias of Locris, Little Ajax",Greek warrior from Locris,Warfare|Bravery|Sacrilege|Divine punishment,,"Spear|Shield|Armor|Sword","Eagle|Serpent",deity_athena_001|deity_oileus_001,,src:theoi-ajax-minor|src:homer-iliad|src:ovid-metamorphoses,Son of Oileus. Smaller less famous Ajax. Committed sacrilege in Athena's temple at Troy. Drowned by Athena in revenge.
human_patroclus_001,Patroclus,HUMAN,"Patróklos, Patroclus",Close companion of Achilles,Friendship|Loyalty|Heroism|Sacrifice|Love,,"Armor|Spear|Sword|Chariot","Horse|Eagle",deity_menoitios_001|deity_achilles_001,,src:theoi-patroclus|src:homer-iliad|src:ovid-metamorphoses,Companion and close friend of Achilles. Borrowed Achilles' armor and died in battle. His death drove Achilles to fury.
human_diomedes_001,Diomedes,HUMAN,"Diomédès, Diomedes",Greek warrior known for valor at Troy,Warfare|Bravery|Divine protection|Heroism,,"Spear|Shield|Armor|Sword","Horse|Eagle",deity_athena_001|deity_ares_001|deity_tydeus_001,,src:theoi-diomedes|src:homer-iliad|src:ovid-metamorphoses,Son of Ares or Tydeus. Brave Greek warrior at Troy. Wounded Aphrodite and Ares in battle. Journeyed extensively after Troy.
human_aeneas_001,Aeneas,HUMAN,"Aineías, Aeneas",Trojan hero who founded Rome,Heroism|Piety|Destiny|Survival|Foundation,Aeneas,Spear|Shield|Armor|Torch,Eagle|Dove,deity_aphrodite_001|deity_poseidon_001,,src:theoi-aeneas|src:ovid-metamorphoses|src:virgil-aeneid,Son of Aphrodite and Trojan hero. Escaped burning Troy carrying father on his back. Sailed to Italy founding Rome.
human_priam_001,Priam,HUMAN,"Príamos, Priamos",King of Troy at time of Trojan War,Kingship|Authority|Fatherhood|Tragedy|Nobility,,"Crown|Scepter|Robe|Torch","Eagle|Lion",deity_apollo_001,,src:theoi-priam|src:homer-iliad|src:ovid-metamorphoses,King of Troy during Trojan War. Father of Hector Paris and many other children. Killed by Achilles' son Neoptolemus.
human_hecuba_001,Hecuba,HUMAN,"Hekábè, Hecuba",Queen of Troy wife of Priam,Motherhood|Tragedy|Transformation|Grief|Royalty,,"Crown|Torch|Cloak|Veil","Dog|Serpent",deity_apollo_001|deity_priam_001,,src:theoi-hecuba|src:homer-iliad|src:ovid-metamorphoses|src:euripides-hecuba,Queen of Troy. Wife of Priam. Mother of Hector and Paris. After Troy's fall transformed into a dog (in some versions).
human_andromache_001,Andromache,HUMAN,"Andromaché, Andromache",Wife of Hector and mother of Astyanax,Motherhood|Loyalty|Tragedy|Grief|Endurance,,"Torch|Crown|Spindle|Wreath","Dove|Nightingale",deity_apollo_001|deity_hector_001,,src:theoi-andromache|src:homer-iliad|src:ovid-metamorphoses|src:euripides-andromache,Wife of Hector. Mother of Astyanax. After Troy's fall enslaved and given to Achilles' son Neoptolemus.
human_atalanta_001,Atalanta,HUMAN,"Atalántè, Atalanta",Swift-footed huntress,Speed|Hunting|Independence|Beauty|Competition,,"Bow|Arrow|Spear|Golden apple","Deer|Boar|Stag",deity_artemis_001|deity_ares_001,,src:theoi-atalanta|src:ovid-metamorphoses|src:apollodorus-library,Swift huntress participant in Argonaut expedition. Competed in foot races. Could not be beaten until suitor used golden apples to slow her.
human_ariadne_001,Ariadne,HUMAN,"Ariadní, Ariadne",Princess who helped Theseus escape Labyrinth,Help|Magic|Betrayal|Love|Transformation,,"Torch|Crown|Spindle|Ball of string","Dove|Crane",deity_minos_001|deity_dionysus_001,,src:theoi-ariadne|src:ovid-metamorphoses|src:homer-odyssey,Daughter of King Minos. Helped Theseus navigate Labyrinth by giving him ball of string. Later married Dionysus.
human_orestes_001,Orestes,HUMAN,"Oréstès, Orestes",Greek hero who avenged his father,Revenge|Justice|Madness|Suffering|Redemption,,"Sword|Spear|Armor|Torch","Eagle|Raven",deity_apollo_001|deity_agamemnon_001,,src:theoi-orestes|src:aeschylus-oresteia|src:euripides-orestes|src:ovid-metamorphoses,Son of Agamemnon. Avenged father by killing mother Clytemnestra. Pursued by Furies. Represented justice through revenge.
human_electra_001,Electra,HUMAN,"Eléktra, Electra",Daughter of Agamemnon devoted to avenging father,Revenge|Devotion|Loyalty|Suffering|Justice,,"Torch|Crown|Spindle|Wreath","Dove|Owl",deity_agamemnon_001|deity_clytemnestra_001,,src:theoi-electra|src:sophocles-electra|src:euripides-electra|src:aeschylus-oresteia,Daughter of Agamemnon and Clytemnestra. Devoted to avenging father's murder. Helped her brother Orestes get revenge.
human_cassandra_001,Cassandra,HUMAN,"Kassándra, Cassandra",Prophetess cursed never to be believed,Prophecy|Cursed sight|Tragedy|Warning|Wisdom,,"Torch|Crystal|Prophetic tablet|Wreath","Dove|Serpent|Owl",deity_apollo_001|deity_priam_001,,src:theoi-cassandra|src:homer-odyssey|src:homer-iliad|src:aeschylus-oresteia,Daughter of Priam. Cursed by Apollo to prophesy truth but never be believed. Tried to warn of Trojan Horse. Killed after Troy's fall.
human_medusa_001,Medusa,HUMAN-MONSTER,"Medousa, Gorgon",Once-beautiful woman turned into monstrous gorgon,Beauty|Curse|Monstrosity|Death|Prophecy,,"Serpent hair|Gaze of death|Severed head","Serpent|Dragon",deity_poseidon_001|deity_medusa_parents_001,,src:theoi-medusa|src:ovid-metamorphoses|src:apollo
dorus-library|src:hesiod-theogony,Once-beautiful woman. Cursed by Athena for affair with Poseidon. Transformed into gorgon with snakes for hair. Killed by Perseus.
human_hippolytus_001,Hippolytus,HUMAN,"Hippólytos, Hippolytus",Son of Theseus cursed by Aphrodite,Chastity|Curse|Betrayal|Death|Wrongful accusation,,"Spear|Chariot|Torch|Arrow","Horse|Stag",deity_aphrodite_001|deity_theseus_001,,src:theoi-hippolytus|src:euripides-hippolytus|src:ovid-metamorphoses,Son of Theseus and Amazon queen. Cursed by Aphrodite for rejecting her. Falsely accused and killed tragically.
monster_minotaur_001,Minotaur,MONSTER,"Asterion, Minotauros",Half-man half-bull creature,Monstrosity|Labyrinth|Sacrifice|Death|Chaos,,"Horns|Hooves|Bull features","Bull|Human hybrid",deity_poseidon_001|deity_pasiphae_001,,src:theoi-minotaur|src:ovid-metamorphoses|src:apollodorus-library,Half-man half-bull monstrosity. Kept in Labyrinth at Crete. Offspring of Pasiphae and sacred bull. Killed by Theseus.
monster_hydra_001,Hydra,MONSTER,"Lernean Hydra, Hydros",Multi-headed serpent with regenerating heads,Monstrosity|Regeneration|Poison|Chaos|Death,,"Multiple serpent heads|Poison venom","Serpent|Dragon|Hydra",deity_typhon_001|deity_echidna_001,,src:theoi-hydra|src:ovid-metamorphoses|src:apollodorus-library,Monstrous serpent with multiple heads. Killing one head caused two to grow back. Defeated by Heracles.
monster_chimera_001,Chimera,MONSTER,"Chímaira, Chimæra",Multi-headed fire-breathing creature,Monstrosity|Fire|Chaos|Death|Destruction,,"Lion head|Goat head|Serpent tail|Flame","Lion|Goat|Serpent|Dragon",deity_typhon_001|deity_echidna_001,,src:theoi-chimera|src:ovid-metamorphoses|src:apollo
dorus-library,Monstrous creature with lion goat and serpent parts. Fire-breathing. Killed by hero Bellerophon.
monster_cerberus_001,Cerberus,MONSTER,"Kerberos, Cerberus",Three-headed guard dog of Hades,Guardian|Underworld|Poison|Loyalty|Death,,"Three heads|Serpent tail|Chain|Mane","Dog|Serpent|Dragon",deity_typhon_001|deity_echidna_001|deity_hades_001,,src:theoi-cerberus|src:homer-odyssey|src:ovid-metamorphoses|src:apollo
dorus-library,Three-headed guard dog of Underworld. Guards entry to Hades' realm. One of Heracles' Twelve Labors to capture him.
monster_pegasus_001,Pegasus,MONSTER,"Pegasos, Pegasus",Winged horse divine steed,Divinity|Flight|Speed|Grace|Wisdom,,"Wings|Speed|Divine light","Horse|Eagle|Dove",deity_poseidon_001|deity_medusa_001,,src:theoi-pegasus|src:hesiod-theogony|src:ovid-metamorphoses|src:homer-odyssey,Divine winged horse born from Medusa's neck. Immortal. Carries heroes into battle. Later placed in sky as constellation.
monster_python_001,Python,MONSTER,"Pythóessa, Python",Serpent slain by Apollo,Monstrosity|Chaos|Serpent|Death|Oracle,,"Serpent body|Fangs|Scales","Serpent|Dragon",deity_typhon_001|deity_gaia_001,,src:theoi-python|src:ovid-metamorphoses|src:homer-hymn-to-apollo,Giant serpent or dragon. Guarded Oracle at Delphi. Slain by Apollo in one of his first great deeds. Later oracles conducted on site.
place_mount_olympus_001,Mount Olympus,PLACE,,Highest mountain of Greece home of the Olympian gods,Mountains|Divine realm|Home of gods|Sky|Heaven,,"Snow-capped peak|Palace|Throne|Temple","Eagle|Owl|Dove",deity_zeus_001,,src:theoi-mount-olympus|src:homer-iliad|src:hesiod-theogony,Highest mountain in Greece (2918m). Home of the 12 Olympian gods. Divine palace with eternal spring weather.
place_underworld_001,Underworld,PLACE,"Hades, Tartarus, Erebus",Realm of the dead ruled by Hades,Afterlife|Death|Underworld|Below earth|Darkness,,"Shadows|River|Throne|Gates","Serpent|Owl|Dragon|Raven",deity_hades_001,,src:theoi-underworld|src:homer-odyssey|src:ovid-metamorphoses|src:virgil-aeneid,Dark realm below earth ruled by Hades. Divided into Elysium (blessed souls) Tartarus (evil souls) and Asphodel (average souls).
place_troy_001,Troy,PLACE,"Ilium, Ilion, Troia",Ancient city in Asia Minor seat of Trojan War,War|Siege|Destruction|Legendary city|Heritage,,"Walls|Palace|Torch|Ruins","Horse|Eagle",human_priam_001,,src:theoi-troy|src:homer-iliad|src:virgil-aeneid,Ancient city in what is now Turkey. Site of the Trojan War. Besieged for 10 years by Greeks. Destroyed and rebuilt many times.
place_delphi_001,Delphi,PLACE,"Delphoi, Delphi",Site of Apollo's oracle the center of Greek world,Prophecy|Oracle|Divine will|Center|Sanctuary,,"Temple|Omphalos|Tripod|Laurel","Raven|Snake|Eagle|Dove",deity_apollo_001,,src:theoi-delphi|src:homer-odyssey|src:pausanias-description,Ancient sanctuary and oracle of Apollo. Considered center of ancient Greek world (omphalos). Source of prophecies for centuries.
place_labyrinth_001,Labyrinth,PLACE,"Labyrinthos, Maze",Elaborate maze on Crete housing the Minotaur,Maze|Prison|Monstrosity|Puzzle|Death,,"Walls|Passages|Center|String","Serpent|Bull|Human hybrid",deity_minos_001|deity_pasiphae_001,monster_minotaur_001,src:theoi-labyrinth|src:ovid-metamorphoses|src:apollo
dorus-library,Elaborate maze built by Daedalus to house Minotaur. Located on Crete. Theseus navigated it with Ariadne's thread.
place_tartarus_001,Tartarus,PLACE,"Tartaros, Deep pit",Deepest part of Underworld where titans imprisoned,Punishment|Imprisonment|Underworld|Chaos|Suffering,,"Pit|Walls|Darkness|Chains","Serpent|Dragon|Owl",deity_hades_001|deity_kronos_001,,src:theoi-tartarus|src:homer-odyssey|src:hesiod-theogony|src:ovid-metamorphoses,Deepest part of Underworld. Imprisoned Titans after their defeat. Contains worst punishments for wicked souls.
place_elysium_001,Elysium,PLACE,"Elysian Fields, Paradiso",Paradise in Underworld for blessed souls,Paradise|Afterlife|Reward|Peace|Blessed,,"Meadows|Palaces|Light|Temples","Dove|Nightingale|Swan",deity_persephone_001|deity_hades_001,,src:theoi-elysium|src:homer-odyssey|src:ovid-metamorphoses|src:virgil-aeneid,Blessed region of Underworld for virtuous and heroic souls. Eternal paradise with perfect weather and beauty.
place_athens_001,Athens,PLACE,"Athenae, Athens",Capital city of Greece patronized by Athena,Wisdom|Governance|Culture|Arts|Protection,,"Temples|Columns|Olive tree|Shield","Owl|Olive tree|Eagle",deity_athena_001,,src:theoi-athens|src:pausanias-description|src:homer-odyssey,Capital of Greece. Patronized by Athena. Center of art philosophy and democracy. Home to famous temples including Parthenon.
place_sparta_001,Sparta,PLACE,"Lacedaemon, Sparta",Military city-state of Greece ruled by Menelaus,Warfare|Military|Power|Kingship|Authority,,"Spear|Helmet|Sword|Crown","Eagle|Lion|Horse",deity_ares_001|deity_artemis_001,,src:theoi-sparta|src:pausanias-description|src:homer-odyssey,City-state in ancient Greece. Known for military prowess. Ruled by Menelaus. Rival to Athens in ancient Greece.
place_crete_001,Crete,PLACE,"Krete, Crete, Minoan",Large island home of King Minos and Labyrinth,Kingship|Civilization|Labyrinth|Seas|Bronze age,,"Palace|Labyrinth|Mountain|Sea","Bull|Serpent|Dolphin",deity_zeus_001|deity_poseidon_001|human_minos_001,place_labyrinth_001,src:theoi-crete|src:homer-odyssey|src:pausanias-description,Large Mediterranean island. Home of King Minos and Labyrinth. Advanced Minoan civilization. Center of mythology.
place_ithaca_001,Ithaca,PLACE,"Ithakè, Ithaca",Small island home of Odysseus,Home|Kingship|Return|Journey|Hearth,,"Rocky island|Palace|Olive tree|Mountain","Dove|Owl|Eagle",deity_poseidon_001|human_odysseus_001,,src:theoi-ithaca|src:homer-odyssey|src:pausanias-description,Small rocky island in Ionian Sea. Home of Odysseus. Hero spent 10 years trying to return there from Troy.
place_corinth_001,Corinth,PLACE,"Korinthos, Corinth",Ancient Greek city-state,Kingship|Trade|Commerce|Walls|Architecture,,"City walls|Harbor|Temple|Trading post","Eagle|Horse",deity_poseidon_001|deity_aphrodite_001,,src:theoi-corinth|src:pausanias-description|src:homer-odyssey,Ancient Greek city-state. Important trading hub. Ruled by various kings. Known for walls and harbors.
